2004,2005,2006
6706,6976,7228
6761,6889,7041
3335,3363,3503
1522,1514,1536
1403,1395,1461
11514,11631,11754
3176,3414,3484
3422,3420,3343
1412,1389,1499
3553,3692,3685
3321,3502,3661
2614,2701,2829
24056,24411,25371
8257,8251,8531
1396,1391,1398
3514,3570,3653
5900,6069,6089
3271,3313,3231
2250,2319,2327
6052,5844,5986
6317,6287,6743
957,1054,1038
3690,3662,3758
6798,6782,6993
5703,5579,5945
7220,7386,7402
5363,5585,5632
9963,9851,10184
1228,1348,1337
1444,1525,1474
7777,7901,8384
13900,14233,14957
1625,1666,1580
15819,15722,16539
11562,11636,12191
12072,12405,12687
2314,2394,2283
6594,6644,6813
15356,15447,15830
3017,2924,3021
3621,3574,3755
3678,3724,3815
8906,8975,9184
2416,2485,2426
15988,16301,16530
8424,8200,8635
1430,1477,1563
3245,3341,3426
772,760,784
10085,10148,10548
5487,5538,5448
6979,7108,7118
2095,2029,2104
3932,3981,4118
8671,8542,8743
2287,2158,2294
8036,7802,8221
11970,12048,12114
2181,2115,2137
36257,35960,36858
10630,10753,11144
3243,3117,3276
19304,19407,19780
6632,6701,6902
6338,6395,6680
2186,2095,2284
4320,4563,4779
12828,13195,13388
8945,8912,9324
23796,24270,24808
2773,2827,2975
5709,5789,5876
6935,6770,7133
4736,4795,4903
8753,8967,9124
31817,31378,31748
15650,15691,16004
17729,18317,18986
19431,19766,20438
4100,4191,4057
7035,7024,7021
3611,3837,3933
2591,2590,2823
10622,10646,10889
6629,6608,6805
7062,7299,7589
4568,4725,4850
3659,3834,3754
4264,4310,4416
3844,3821,3929
1766,1837,1888
17614,17753,18281
24649,24588,25426
26313,26760,27916
19866,19947,20948
17863,18012,19015
